Material	Cod Familia
1424188	469614004
1486229	469618001
1486230	469618001
1486231	469618001
1486232	469618001
1486233	469618001
1486234	469618001
1199238	469713002
1472674	469908002
1164638	469615001
1101137	469713008
1104846	469713008
1105439	469713008
1105441	469713008
1105443	469713008
1107726	469713008
1132280	469713008
1132283	469713008
1132387	469713005
1132446	469713005
1133160	469713008
1133162	469713008
1160710	469713008
1202384	469713008
1203363	469713008
1203364	469713008
1227359	469713008
1227361	469713008
1227362	469713008
1227363	469713008
1227364	469713008
1227365	469713008
1228608	469713008
1273344	469713008
1274714	469713008
1275656	469713005
1423703	469713008
1423704	469713008
1423705	469713008
1426131	469713008
1426358	469713008
1426546	469713008
1427117	469713008
1427417	469713008
1429109	469713008
1429298	469713008
1432372	469713009
1434523	469713008
1466613	469713008
1452473	469713008
1453331	469713008
1454022	469713008
157912	469713003
995228	469713005
1143241	469713002
1159827	469713001
1159982	469713001
1161310	469713001
1191688	469713003
1271023	469713003
1271543	469713002
1293157	469713008
1426166	469615002
1432202	469713001
1432203	469713002
1459483	469713005
1101062	469619002
1274505	469619002
1275963	469614003
1457847	469619002
1473830	469614003
1473831	469619002
1473832	469614003
1473836	469615002
1113886001	469713001
1113886002	469713001
915688	469616001
986028	469619002
1101649	469616001
1102085	469616001
1104163	469616001
1275460	469616001
1473834	469616001
1473835	469616001
1473838	469616001
1106116	469616001
1198297	469619002
1486223	469616001
1161528	469616001
1276419	469614001
1104208	469618001
1159945	469618001
1160529	469618001
1198003	469618001
1198027	469618001
1198028	469618001
1198244	469618001
1198390	469618001
1198465	469618001
1198564	469618001
1199055	469618001
1199170	469618001
1199386	469618001
1199423	469618001
1242767001	469618001
1242767002	469618001
1242767003	469618001
1242768001	469618001
1242768003	469618001
1242768004	469618001
1099554	469713001
1100642	469618001
1100643	469713001
1108906	469713001
1134968	469618001
1140426	469618001
1191626	469618001
1191627	469618001
1191628	469618001
1272880	469618001
1272915	469618003
1273658	469618001
1273859	469618001
1274271	469618001
1423799	469618001
1427214	469618001
1431336	469618001
1431879	469618001
1113797001	469618001
1113797002	469618001
1113797003	469618001
1113797004	469618001
1113866001	469713001
1113873001	469618001
1113873003	469618001
1136651001	469618001
1609721001	469618001
1609721002	469618001
1609721003	469618001
1100563	469616002
1108568	469616002
1134148	469616002
1161603	469616002
1198431	469616002
1198952	469616002
1272645	469619002
1275657	469615002
1205522	469616002
1473837	469614002
1134151	469618001
1134152	469618002
1135553	469614004
1164746	469713008
1486224	469615002
1486225	469619002
1486226	469614002
1486227	469614002
1486228	469614001
1100564	469614002
1109557	469614003
1135039	469619002
1275659	469614002
1275964	469615002
1276244	469614003
1423789	469618001
1423803	469616002
1425148	469616002
1425149	469618001
1426057	469619002
1427215	469618001
1427995	469618001
1428306	469619002
1428813	469614004
1429562	469619002
1430386	469713006
1432201	469614003
1432373	469616002
1472638	469615002
1472646	469619002
1473828	469615002
1473839	469619002
1132887	469905004
1159723	469905001
1160351	469905003
1161798	469905001
1271890	469901001
1273969	469905001
1557087	469905001
1160619	469811001
1161335	469811001
1161336	469811001
1163243	469811001
1163244	469811001
1160762	469811001
1160799	469811001
1160800	469811001
1161061	469811001
1161062	469811001
1161063	469811001
1161299	469811001
1161300	469811001
1163255	469811001
